exp_id	dev	test	status	sig	description
1	0.803976	0.000000	keep	87dd16fb4cbb	[instructions] Broaden Supplemental questionnaire to include coverage specifications, narrowing Other.
2	0.803976	0.000000	inconclusive	794a3a2208c9	[instructions] Exclude corrupted/unreadable documents from Other to reduce its over-firing.
3	0.803976	0.000000	inconclusive	ad5366687675	[instructions] Exclude corrupted/unreadable documents from Other to reduce its over-firing.
4	0.803976	0.000000	inconclusive	a2c654a33efd	[instructions] Exclude corrupted/unreadable documents from Other to prevent misclassification, narrowing the Other category.
5	0.803976	0.000000	inconclusive	3ea9866fbe24	[instructions] Exclude corrupted/unreadable documents from Other to reduce its over-firing, narrowing the Other category.
6	0.803976	0.800000	final	87dd16fb4cbb	held-out test of best (round 1)
7	0.803976	0.000000	inconclusive	ad5366687675	[instructions] Exclude corrupted/unreadable documents from Other to reduce its over-firing, narrowing the Other category.
8	0.776595	0.000000	inconclusive	221e583fd19d	[instructions] Exclude corrupted/unreadable documents from classification to address misclassification and reduce over-firing of Other.
9	0.803976	0.000000	inconclusive	7737b0eafc40	[instructions] Exclude corrupted or unreadable documents from Other to reduce its over-firing.
10	0.803976	0.000000	inconclusive	2d3115b939c1	[instructions] Explicitly exclude corrupted or unreadable documents from Other to prevent over-firing.
11	0.803976	0.000000	inconclusive	f57a1a16f78f	[instructions] Exclude corrupted/unreadable documents from classification, not just from Other, to reduce misclassification.
12	0.742751	0.000000	inconclusive	ae8060cc7e29	[instructions] Exclude corrupted/unreadable documents from Other to reduce its over-firing, but also explicitly state they are excluded from classification.
13	0.803976	0.000000	inconclusive	cf8ed9cf2e08	[instructions] Explicitly exclude corrupted/unreadable documents from classification to address over-firing of Other.
14	0.803976	0.000000	inconclusive	0080c37e3b77	[instructions] Exclude corrupted/unreadable documents from classification entirely to address the misclassification issue.
15	0.803976	0.000000	inconclusive	4eab8dcbd041	[instructions] Explicitly exclude corrupted/unreadable documents entirely from classification to prevent misclassification into Other.
16	0.803976	0.000000	inconclusive	f525e74450ed	[instructions] Explicitly exclude unreadable/corrupted documents from classification to prevent misclassification into Other.
17	0.803976	0.000000	inconclusive	c91668ee265d	[instructions] Explicitly exclude unreadable/corrupted documents from classification to reduce misclassification into Other.
18	0.687989	0.000000	inconclusive	8d92f251a28b	[instructions] Clarify that documents detailing specific coverage terms or limits belong under Supplemental questionnaire, not Other, to further narrow the Other category.
19	0.803976	0.933333	final	87dd16fb4cbb	held-out test of best (round 0)
20	0.803976	0.000000	inconclusive	600607fdac9b	[instructions] Explicitly exclude unreadable or corrupted documents from Other to narrow the category and reduce over-firing.
21	0.776595	0.000000	inconclusive	50edd57bf765	[instructions] Exclude documents with significant unreadable or corrupted content to reduce misclassification into Other.
22	0.776595	0.000000	inconclusive	0fb39aff1a4a	[instructions] Narrow Other by excluding documents detailing specific insurance products, assigning them to Supplemental questionnaire.
23	0.734531	0.000000	inconclusive	1ff047d2ad44	[instructions] Clarify that documents primarily listing insurance terms, limits, or coverage details should be classified as Supplemental questionnaire, not Other, to reduce over-firing of the Other label.
24	0.803976	0.933333	final	87dd16fb4cbb	held-out test of best (round 0)
25	0.776651	0.000000	inconclusive	ab80e1ea19cb	[instructions] Explicitly exclude coverage specifications from Other, directing them to Supplemental questionnaire to reduce over-firing.
26	0.803976	0.000000	keep	0c913a788a80	[instructions] Broaden Supplemental questionnaire to include coverage specifications, emphasizing exclusion of unreadable/corrupted documents from classification.
27	0.803976	0.000000	inconclusive	594b6f2a3f31	[instructions] Clarify that documents detailing specific insurance terms, limits, or coverage details belong under Supplemental questionnaire, not Other, to further narrow the Other category.
28	0.803976	0.000000	inconclusive	92e81f7eed61	[instructions] Exclude coverage specifications from Other, directing them to Supplemental questionnaire to reduce over-firing.
29	0.776595	0.000000	inconclusive	37c885efcde7	[instructions] Clarify that documents listing insurance terms, limits, or specific coverage details should be Supplemental questionnaire, narrowing Other.
30	0.803976	0.000000	inconclusive	ee168a5b765a	[instructions] Added explicit exclusion of documents with unreadable or corrupted content from classification, not just from 'Other', to reduce misclassification.
31	0.803976	0.853968	final	0c913a788a80	held-out test of best (round 2)
32	0.803976	0.000000	inconclusive	db5e91b03caa	[instructions] Exclude unreadable/corrupted documents entirely from classification, not just from Other, to reduce misclassification into Other.
33	0.803976	0.000000	inconclusive	203cb2d44c92	[instructions] Exclude corrupted or unreadable documents entirely from classification to prevent misclassification into Other.
34	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
35	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
36	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
37	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
38	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
39	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
40	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
41	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
42	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
43	0.000000	0.000000	duplicate	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing the Other category. — duplicate/no-op, skipped (already known)
44	0.803976	0.933333	final	87dd16fb4cbb	held-out test of best (round 0)
45	0.803976	0.000000	inconclusive	bc9af7b7fac8	[instructions] Explicitly exclude unreadable/corrupted documents from classification to reduce misclassification into Other.
46	0.803976	0.000000	inconclusive	e8f9c9c1b6d2	[instructions] Explicitly exclude unreadable or corrupted documents from classification entirely to prevent misclassification into Other, further narrowing its scope.
47	0.749214	0.000000	inconclusive	1715a61d3c20	[instructions] Explicitly exclude documents that primarily contain unreadable or corrupted content from the Other category to reduce over-firing.
48	0.803976	0.000000	inconclusive	db05e87f3783	[instructions] Strengthen Loss run definition by adding specific content signals (claim numbers, reserves, valuation dates) to improve classification accuracy.
49	0.803976	0.000000	inconclusive	ac25555cf3e7	[instructions] Added emphasis on excluding corrupted/unreadable documents entirely from classification to further narrow the 'Other' category and prevent misclassification.
50	0.742751	0.000000	inconclusive	2587e1aba24e	[instructions] Strengthen exclusion of unreadable/corrupted documents from 'Other' to reduce over-firing.
